GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Audio Analyzer Experimental Acoustic,org.hammer.audio.experimental.acoustic.visualization,AcousticDebugFrame,46,0,2,0,12,0,3,0,2,0
Audio Analyzer Experimental Acoustic,org.hammer.audio.experimental.acoustic,CrossCorrelationTdoaEstimator,6,190,3,9,1,38,3,7,0,4
Audio Analyzer Experimental Acoustic,org.hammer.audio.experimental.acoustic,GccPhatTdoaEstimator.LagScore,0,9,0,0,0,1,0,1,0,1
Audio Analyzer Experimental Acoustic,org.hammer.audio.experimental.acoustic,WingbeatFrequencyTracker,1,191,1,9,1,35,1,7,0,3
Audio Analyzer Experimental Acoustic,org.hammer.audio.experimental.acoustic,DelayAndSumBeamformer,11,153,4,14,1,29,5,11,1,6
Audio Analyzer Experimental Acoustic,org.hammer.audio.experimental.acoustic,FrequencyBand,19,23,8,4,2,5,7,1,1,1
Audio Analyzer Experimental Acoustic,org.hammer.audio.experimental.acoustic,AcousticLocalizationSnapshot,5,37,2,2,1,6,2,1,0,1
Audio Analyzer Experimental Acoustic,org.hammer.audio.experimental.acoustic,MosquitoLocalizationPipeline,22,279,7,25,4,52,5,16,0,5
Audio Analyzer Experimental Acoustic,org.hammer.audio.experimental.acoustic,DelayAndSumBeamformer.BeamformingPoint,10,18,3,3,2,4,3,1,0,1
Audio Analyzer Experimental Acoustic,org.hammer.audio.experimental.acoustic,TdoaEstimate,20,60,9,9,4,7,9,2,0,2
Audio Analyzer Experimental Acoustic,org.hammer.audio.experimental.acoustic,GccPhatTdoaEstimator,6,354,3,21,1,67,3,16,0,7
Audio Analyzer Experimental Acoustic,org.hammer.audio.experimental.acoustic,SpectralPeak,15,37,7,7,3,5,7,1,0,1
Audio Analyzer Experimental Acoustic,org.hammer.audio.experimental.acoustic,MosquitoLocalizationPipeline.TdoaPairingMode,0,15,0,0,0,3,0,1,0,1
Audio Analyzer Experimental Acoustic,org.hammer.audio.experimental.acoustic.simulation,SimulatedMicrophoneArraySource,23,256,6,18,6,45,8,9,2,3
Audio Analyzer Experimental Acoustic,org.hammer.audio.experimental.acoustic.simulation,SoundEmitter2D,15,56,7,7,3,7,7,3,0,3
Audio Analyzer Experimental Acoustic,org.hammer.audio.experimental.acoustic.simulation,Room2D,41,51,18,10,7,7,15,1,1,1
